,user_id,own_recommendations
95,96,"[1026118, 1029743, 5569230, 1106523, 1081177]"
96,97,"[1075368, 995242, 6534178, 844165, 962229]"
97,98,"[862349, 1065593, 904360, 849843, 994928]"
98,99,"[1082185, 1029743, 908531, 849843, 854852]"
99,100,"[849843, 6534178, 908531, 916122, 1053690]"
100,101,"[866227, 6533765, 6534178, 1133018, 1106523]"
101,102,"[1028816, 1127831, 908846, 1033142, 1053690]"
102,103,"[1106523, 1080414, 883404, 1118393, 1092026]"
103,104,"[995242, 1082185, 933835, 5569230, 1029743]"
104,105,"[1005186, 1133018, 1082185, 860776, 995242]"
105,106,"[6534178, 5569230, 849843, 1028816, 995785]"
106,107,"[6534178, 951590, 1053690, 8090521, 929668]"
107,108,"[1127831, 1082185, 1024306, 1070820, 849843]"
108,109,"[1058997, 1082185, 989101, 961554, 1126899]"
109,110,"[1133018, 951590, 6534178, 860975, 995785]"
110,111,"[1133018, 1106523, 989101, 1077555, 901062]"
111,112,"[6534178, 1070820, 1039156, 933835, 862349]"
112,113,"[1070820, 6534178, 862349, 1082185, 903325]"
113,114,"[1029743, 995242, 989101, 6534178, 1070820]"
114,115,"[6534178, 862349, 908531, 1101010, 933835]"
115,116,"[1133018, 908531, 849843, 923746, 5569471]"
116,117,"[862349, 1082185, 854852, 901062, 951590]"
117,118,"[1058997, 849843, 1127831, 1082185, 893018]"
118,119,"[908531, 1029743, 986912, 995242, 1077555]"
119,120,"[6534178, 1024306, 1082185, 6534178, 1029743]"
120,121,"[1029743, 1039156, 923746, 849843, 1070015]"
121,122,"[5569230, 940947, 1053690, 1005186, 1039156]"
122,123,"[1126899, 1005186, 1056509, 1058997, 826249]"
123,124,"[1106523, 9526410, 951590, 1077555, 833025]"
124,125,"[6534178, 1029743, 844165, 995242, 8090537]"
125,126,"[951590, 1096036, 981760, 844165, 1101173]"
126,127,"[6534178, 1005186, 1075368, 854852, 1106523]"
127,128,"[1082185, 1037863, 6534166, 1003188, 901062]"
128,129,"[1058997, 1082185, 995242, 860975, 1029743]"
129,130,"[951590, 1070015, 6534178, 1106523, 854852]"
130,131,"[1082185, 1029743, 995242, 908531, 8090537]"
131,132,"[1058997, 986912, 854852, 1126899, 1110572]"
132,133,"[1127831, 995242, 5569230, 1133018, 979707]"
133,134,"[5569230, 8090537, 913210, 995242, 1101010]"
134,135,"[862349, 866227, 933835, 9526410, 986912]"
135,136,"[8090521, 5569230, 8090537, 1133018, 883404]"
136,137,"[1126899, 1058997, 849843, 866211, 908531]"
137,138,"[1070820, 862349, 1082185, 904360, 1127831]"
138,139,"[1058997, 879755, 1082185, 6534178, 849843]"
139,140,"[8090521, 844165, 879755, 8090537, 1106523]"
140,141,"[834484, 854852, 995785, 1023720, 6534166]"
141,142,"[1070015, 1065593, 873627, 976998, 1058997]"
142,143,"[5569230, 1133018, 6534178, 1053690, 1106523]"
143,144,"[879755, 1106523, 5585510, 883404, 904360]"
144,145,"[5569471, 1029743, 1082185, 1126899, 893501]"
145,146,"[995242, 1005186, 986912, 1029743, 878996]"
146,147,"[1133018, 908531, 860975, 909894, 994928]"
147,148,"[995242, 1126899, 5569230, 951590, 8090537]"
148,149,"[862349, 6534178, 981760, 913210, 1082185]"
149,150,"[1085604, 908531, 1101173, 995242, 910032]"
150,151,"[6533889, 1126899, 916122, 961554, 1005186]"
151,152,"[914190, 1127831, 1082185, 5569374, 962568]"
152,153,"[976998, 859075, 1039156, 916122, 981760]"
153,154,"[1133018, 844165, 1098066, 873627, 878996]"
154,155,"[1029743, 951590, 883404, 1098066, 826249]"
155,156,"[6534178, 1080414, 1005186, 908531, 1039156]"
156,157,"[1058997, 962229, 1126899, 981760, 840361]"
157,158,"[862349, 909894, 1082185, 981760, 878996]"
158,159,"[849843, 994928, 923746, 1098066, 1096036]"
159,160,"[1005186, 1070820, 986912, 933835, 962568]"
160,161,"[868764, 976998, 953476, 1065593, 1098066]"
161,162,"[1070820, 1029743, 904360, 834484, 6034857]"
162,163,"[844165, 1053690, 860776, 961554, 1055863]"
163,164,"[1029743, 849843, 883404, 908531, 840361]"
164,165,"[1070820, 862349, 6534178, 994928, 1082185]"
165,166,"[1075368, 951590, 1106523, 1029743, 1053690]"
166,167,"[5569230, 908531, 908846, 878996, 995785]"
167,168,"[1029743, 961554, 995785, 1023720, 1081177]"
168,169,"[6534178, 1075368, 834484, 873627, 1051069]"
169,170,"[1126899, 1082185, 1024306, 1058997, 904360]"
170,171,"[908531, 1044078, 1029743, 995785, 1003188]"
171,172,"[6534178, 6533765, 1053690, 1098066, 5569230]"
172,173,"[1070820, 862349, 1056509, 866211, 1055863]"
173,174,"[1133018, 9526410, 826249, 9527290, 1096036]"
174,175,"[1058997, 824005, 840361, 5569230, 845208]"
175,176,"[5569230, 1106523, 6534178, 5569845, 883404]"
176,177,"[1058997, 1126899, 849843, 1127831, 854852]"
177,178,"[1085604, 873627, 1092026, 8090521, 989101]"
178,179,"[5569230, 847982, 951590, 1033142, 962229]"
179,180,"[5569230, 1029743, 1075368, 987562, 908531]"
180,181,"[6534178, 995242, 951590, 854852, 1082185]"
181,182,"[1133018, 849843, 1037863, 8090537, 981760]"
182,183,"[1028816, 1106523, 1053690, 1118393, 878996]"
183,184,"[6534178, 1075368, 824005, 845208, 923746]"
184,185,"[844165, 1029743, 1085604, 6534178, 883404]"
185,186,"[1082185, 6534178, 1029743, 995242, 1106523]"
186,187,"[983584, 908531, 951590, 1133018, 1082185]"
187,188,"[1106523, 849843, 1005186, 909894, 1133018]"
188,189,"[986912, 1098066, 933835, 951590, 965766]"
189,190,"[951590, 1053690, 903325, 1127831, 995785]"
190,191,"[914190, 862349, 994928, 995242, 1039156]"
191,192,"[5569230, 1029743, 1056509, 981760, 995242]"
192,193,"[6534178, 983584, 1029743, 8090537, 908531]"
193,194,"[854852, 961554, 903325, 834484, 995785]"
194,195,"[995242, 6534178, 908531, 1082185, 1029743]"
195,196,"[1106523, 962229, 826249, 1053690, 1133018]"
196,197,"[1126899, 951590, 1082185, 1101173, 965766]"
197,198,"[1005186, 1085604, 883404, 1065593, 1106523]"
198,199,"[1005186, 1070015, 995242, 1058997, 986912]"
199,200,"[1085604, 5568378, 1126899, 883404, 1110572]"
200,201,"[6034857, 1082185, 1133018, 5568378, 999971]"
201,202,"[962229, 1029743, 6533889, 8090521, 5569230]"
202,203,"[1005186, 5569471, 849843, 1029743, 6534178]"
203,204,"[6034857, 1070820, 923746, 1053690, 1024306]"
204,205,"[1106523, 1026118, 1028816, 1082185, 981760]"
205,206,"[1106523, 883404, 1092026, 826249, 1044078]"
206,207,"[834484, 1071939, 878996, 976199, 995785]"
207,208,"[862349, 1070820, 951590, 981760, 1037863]"
208,209,"[849843, 6534178, 6533765, 923746, 908531]"
209,210,"[879755, 849843, 860776, 1081177, 1082185]"
210,211,"[962229, 1133018, 1082185, 1081177, 951590]"
211,212,"[995242, 1082185, 866211, 951590, 860776]"
212,213,"[862139, 1065593, 5568378, 986912, 1038217]"
213,214,"[901062, 1082185, 1005186, 1127831, 862349]"
214,215,"[1082185, 1005186, 994928, 1024306, 1022254]"
215,216,"[866227, 986912, 986947, 1039156, 820165]"
216,217,"[6534178, 986912, 951590, 834484, 5569471]"
217,218,"[6534178, 860776, 1026118, 995242, 986912]"
218,219,"[862349, 1082185, 1127831, 981760, 951590]"
219,220,"[5590287, 6534166, 995242, 847982, 6534178]"
220,221,"[1133018, 849843, 883404, 981760, 994928]"
221,222,"[1058997, 860776, 1082185, 866211, 847982]"
222,223,"[879755, 844165, 1029743, 883404, 859075]"
223,224,"[5569230, 1106523, 866227, 908531, 1133018]"
224,225,"[1029743, 834484, 1133018, 1065593, 911812]"
225,226,"[995242, 909894, 1029743, 6534178, 1056509]"
226,227,"[908531, 5590287, 1082185, 1065593, 860975]"
227,228,"[866227, 5569471, 1126899, 1095275, 1058997]"
228,229,"[904360, 1127831, 986912, 995242, 833025]"
229,230,"[1029743, 6534178, 883404, 8090537, 1005186]"
230,231,"[908531, 933835, 995242, 976998, 1029743]"
231,232,"[6534178, 6533765, 995242, 1082185, 1029743]"
232,233,"[995242, 1029743, 986947, 995965, 961554]"
233,234,"[868764, 923746, 8090537, 908531, 1133018]"
234,235,"[1070820, 862349, 908531, 983584, 995785]"
235,236,"[1126899, 826249, 866227, 1039156, 893501]"
236,237,"[5569471, 5569230, 914190, 849843, 1028816]"
237,238,"[1106523, 868764, 989101, 1044078, 1024306]"
238,239,"[1133018, 854852, 1065593, 976998, 1120741]"
239,240,"[1106523, 995785, 826249, 883404, 914190]"
240,241,"[1028816, 860776, 5569845, 1026118, 5569230]"
241,242,"[1029743, 849843, 854852, 893501, 995785]"
242,243,"[1126899, 6534178, 6034857, 901062, 860776]"
243,244,"[1133018, 909894, 1070015, 849843, 1082185]"
244,245,"[908531, 6534178, 995242, 981760, 923746]"
245,246,"[1070820, 862349, 873627, 849843, 951590]"
246,247,"[1005186, 986912, 1082185, 1133018, 1077555]"
247,248,"[1126899, 1058997, 849843, 913210, 1029743]"
248,249,"[1053690, 883404, 1029743, 995242, 994928]"
249,250,"[844165, 951590, 1056509, 1029743, 908531]"
250,251,"[1070820, 1075368, 883404, 951590, 995242]"
251,252,"[844165, 951590, 883404, 1068719, 1082185]"
252,253,"[951590, 1133018, 1106523, 923746, 933835]"
253,254,"[1106523, 1051069, 1082185, 1085604, 930917]"
254,255,"[5569230, 1029743, 951590, 940947, 873627]"
255,256,"[862349, 873627, 5568378, 1098066, 962229]"
256,257,"[1070015, 1106523, 883404, 859075, 849843]"
257,258,"[862349, 1120741, 995242, 1065593, 849843]"
258,259,"[866227, 8090537, 879755, 940947, 953476]"
259,260,"[1028816, 962229, 1081177, 904360, 981760]"
260,261,"[6534178, 995242, 5568378, 989101, 8090521]"
261,262,"[1058997, 1101010, 849843, 986912, 5590287]"
262,263,"[1029743, 995242, 1005186, 951590, 904360]"
263,264,"[1127831, 962568, 995965, 6534178, 961554]"
264,265,"[1005186, 923746, 987562, 1127831, 961554]"
265,266,"[1126899, 5569471, 981760, 1082185, 826249]"
266,267,"[844165, 6533765, 1106523, 6534178, 1022872]"
267,268,"[1110572, 995242, 8090521, 1085604, 840361]"
268,269,"[962229, 981760, 5569845, 1106523, 976998]"
269,270,"[1053690, 8090521, 986912, 5569230, 8090537]"
270,271,"[986912, 1124729, 1058997, 883404, 1126899]"
271,272,"[5703832, 1082185, 6534178, 1029743, 995242]"
272,273,"[1053690, 883404, 1085604, 1005186, 1106523]"
273,274,"[1070015, 873627, 1106523, 995785, 979707]"
274,275,"[1106523, 849843, 1133018, 6533765, 826249]"
275,276,"[995242, 6534178, 847982, 951590, 1022003]"
276,277,"[1098066, 826249, 1029743, 1053690, 834484]"
277,278,"[999971, 1098066, 995785, 824005, 883404]"
278,279,"[1070015, 1029743, 994928, 995242, 6534178]"
279,280,"[1106523, 6534178, 962229, 1133018, 1044078]"
280,281,"[1070820, 862349, 854852, 1082185, 995785]"
281,282,"[6534178, 916122, 995785, 904360, 860776]"
282,283,"[862349, 1070820, 5569471, 849843, 940947]"
283,284,"[1029743, 1075368, 904360, 1098066, 8090521]"
284,285,"[849843, 995242, 923746, 981760, 6534178]"
285,286,"[866211, 9526410, 1082185, 986912, 1081177]"
286,287,"[1106523, 1133018, 981760, 1070015, 995785]"
287,288,"[1070820, 1026118, 1082185, 904360, 6534178]"
288,289,"[6533889, 981760, 1082185, 961554, 909714]"
289,290,"[962229, 995242, 1065593, 1080414, 909894]"
290,291,"[1005186, 879755, 1113588, 1106523, 844165]"
291,292,"[1106523, 8090521, 951590, 986912, 1133018]"
292,293,"[987562, 981760, 824005, 995785, 1133018]"
293,294,"[1106523, 866227, 1133018, 908531, 873627]"
294,295,"[878996, 1024306, 1023720, 994928, 826249]"
295,296,"[6534178, 844165, 995242, 913785, 1082185]"
296,297,"[1075368, 908531, 844165, 883404, 1005186]"
297,298,"[866227, 879755, 962229, 854852, 1065593]"
298,299,"[983584, 1029743, 1082185, 6534178, 1029743]"
299,300,"[1106523, 962229, 826249, 916122, 9526410]"
300,301,"[1082185, 1127831, 995242, 1029743, 874972]"
301,302,"[1070820, 9526410, 1124729, 903325, 995965]"
302,303,"[951590, 995242, 5569230, 854852, 1082185]"
303,304,"[1029743, 6534178, 868764, 873627, 923746]"
304,305,"[6534178, 995242, 1101173, 840361, 976998]"
305,306,"[1056509, 962229, 883404, 6534178, 961554]"
306,307,"[1039156, 6534178, 845208, 1096036, 989101]"
307,308,"[1110572, 1058997, 5569230, 1065593, 995785]"
308,309,"[8090521, 8090537, 1082185, 995242, 908846]"
309,310,"[1058997, 6034857, 1127831, 995242, 987562]"
310,311,"[1005186, 1106523, 878996, 866211, 1082185]"
311,312,"[866227, 1082185, 1077555, 1024306, 866211]"
312,313,"[908531, 1024306, 878996, 1023720, 1082185]"
313,314,"[1058997, 1106523, 981760, 995965, 1082185]"
314,315,"[1085604, 1028816, 866227, 1026118, 824005]"
315,316,"[1058997, 849843, 995242, 995785, 933835]"
316,317,"[951590, 1029743, 983584, 854852, 8090521]"
317,318,"[5569230, 962229, 1106523, 1133018, 914190]"
318,319,"[1106523, 860776, 961554, 6534178, 904360]"
319,320,"[903325, 908846, 1024306, 8090521, 854852]"
320,321,"[1126899, 1058997, 1082185, 1056509, 878996]"
321,322,"[862349, 1070820, 923746, 1058997, 901062]"
322,323,"[1126899, 6534178, 1082185, 6534178, 1029743]"
323,324,"[1070820, 6534178, 901062, 1082185, 862349]"
324,325,"[995242, 5569471, 909894, 908846, 5569230]"
325,326,"[8090521, 8090537, 1110572, 1101010, 908531]"
326,327,"[883404, 1098066, 844179, 908531, 1133018]"
327,328,"[1070820, 1028816, 933835, 878996, 901062]"
328,329,"[1005186, 901062, 1095275, 854852, 1127831]"
329,330,"[995242, 860975, 1005186, 909894, 6534178]"
330,331,"[1070820, 1029743, 844165, 981760, 1053690]"
331,332,"[1070820, 862349, 1058997, 1065593, 995242]"
332,333,"[1005186, 986912, 1133018, 904360, 883404]"
333,334,"[1082185, 1005186, 847982, 1080414, 860776]"
334,335,"[1075368, 1133018, 834484, 847270, 1082185]"
335,336,"[1106523, 6533765, 923746, 6534178, 5569230]"
336,337,"[5569471, 1029743, 1118393, 904360, 1124729]"
337,338,"[1026118, 1028816, 908846, 860776, 1133018]"
338,339,"[1106523, 1133018, 1065593, 1080414, 1096036]"
339,340,"[995242, 1133018, 883404, 1029743, 1082185]"
340,341,"[916122, 1007195, 985999, 907014, 1082185]"
341,342,"[1005186, 1029743, 860975, 1081177, 847982]"
342,343,"[995242, 923746, 844165, 903325, 9526410]"
343,344,"[6534178, 995242, 883404, 904360, 5590287]"
344,345,"[1082185, 1029743, 995242, 1003188, 883404]"
345,346,"[849843, 1101010, 1082185, 1029743, 981760]"
346,347,"[1126899, 5569471, 951590, 1053690, 1133018]"
347,348,"[6533765, 1056509, 1096036, 986912, 1070015]"
348,349,"[1126899, 5569471, 1106523, 840361, 981760]"
349,350,"[1085604, 6534178, 860776, 1106523, 961554]"
350,351,"[951590, 1133018, 1106523, 1082185, 1007195]"
351,352,"[1058997, 986912, 1095275, 961554, 1127831]"
352,353,"[1022254, 979707, 866211, 908846, 909714]"
353,354,"[951590, 1133018, 1101010, 916122, 1106523]"
354,355,"[1005186, 962229, 909894, 999971, 866211]"
355,356,"[1075368, 995242, 6534178, 986912, 1113588]"
356,357,"[1126899, 1058997, 849843, 840361, 916122]"
357,358,"[5569230, 1106523, 1110572, 834484, 981760]"
358,359,"[962229, 995785, 923746, 5568378, 1124729]"
359,360,"[5568378, 1005186, 866227, 1085604, 1082185]"
360,361,"[1082185, 1133018, 1101010, 1056509, 826249]"
361,362,"[866227, 923746, 1127831, 986912, 981760]"
362,363,"[909894, 1127831, 923746, 994928, 871756]"
363,364,"[1106523, 1096036, 1092026, 844179, 866227]"
364,365,"[1082185, 986912, 1023720, 6534178, 1022254]"
365,366,"[1133018, 1092026, 1065593, 883404, 1106523]"
366,367,"[1070820, 862349, 1082185, 961554, 860776]"
367,368,"[908531, 951590, 1056509, 893018, 6534178]"
368,369,"[878996, 6533765, 1126899, 981760, 1044078]"
369,370,"[1095275, 866227, 6534178, 995242, 961554]"
370,371,"[5590287, 1082185, 995242, 961554, 1029743]"
371,372,"[1029743, 1005186, 1124729, 1101173, 1082185]"
372,373,"[986912, 989101, 1133018, 1106523, 1082185]"
373,374,"[879755, 1029743, 901062, 849843, 923746]"
374,375,"[914190, 1029743, 965766, 849843, 8090537]"
375,376,"[849843, 986912, 1133018, 981760, 1044078]"
376,377,"[1126899, 1082185, 1029743, 995785, 860776]"
377,378,"[1005186, 866227, 1082185, 933835, 860776]"
378,379,"[1082185, 6534178, 1029743, 995242, 1106523]"
379,380,"[951590, 1106523, 854852, 1053690, 826249]"
380,381,"[1075368, 883404, 1029743, 995242, 859075]"
381,382,"[6534178, 5569471, 1029743, 1101010, 5569374]"
382,383,"[1126899, 1058997, 1082185, 1003600, 916122]"
383,384,"[1126899, 1075368, 1058997, 976998, 5569471]"
384,385,"[1058997, 1126899, 883404, 903325, 6034857]"
385,386,"[1095275, 1133018, 849843, 883404, 995242]"
386,387,"[1126899, 1058997, 933835, 916122, 923746]"
387,388,"[849843, 995242, 1029743, 866227, 1039156]"
388,389,"[1126899, 1058997, 1082185, 1127831, 6533889]"
389,390,"[951590, 5569230, 844165, 995242, 1053690]"
390,391,"[962229, 1029743, 826249, 1101173, 908531]"
391,392,"[1133018, 903325, 940947, 916122, 981760]"
392,393,"[995242, 1029743, 1065593, 999971, 994928]"
393,394,"[986912, 1133018, 1026118, 1029743, 834484]"
394,395,"[1053690, 5569230, 962229, 995242, 1120741]"
395,396,"[1075368, 1058997, 1126899, 908846, 901062]"
396,397,"[1126899, 1058997, 6534178, 933835, 995785]"
397,398,"[6534178, 1053690, 1092026, 1029743, 995242]"
398,399,"[5569230, 951590, 1075368, 1133018, 916122]"
399,400,"[1029743, 6533889, 1082185, 860776, 883404]"
400,401,"[986912, 849843, 1005186, 1124729, 965766]"
401,402,"[824005, 6534178, 1005186, 914190, 834484]"
402,403,"[854852, 1082185, 995242, 840361, 1007195]"
403,404,"[1003600, 904360, 1081177, 860776, 6534178]"
404,405,"[1039156, 6534178, 860776, 834484, 962229]"
405,406,"[1070015, 1033142, 1039156, 1127831, 1126899]"
406,407,"[8090521, 983584, 866227, 1053690, 1127831]"
407,408,"[1082185, 1029743, 849843, 1127831, 923746]"
408,409,"[1070820, 862349, 1082185, 854852, 6534178]"
409,410,"[866227, 909894, 995242, 834484, 1044078]"
410,411,"[1106523, 951590, 5569374, 5569471, 860776]"
411,412,"[1005186, 866227, 986912, 1133018, 995242]"
412,413,"[986912, 1106523, 1082185, 6534178, 5569230]"
413,414,"[1029743, 940947, 8090521, 6534178, 1085604]"
414,415,"[9526410, 911812, 1082185, 6534178, 1029743]"
415,416,"[1126899, 857849, 9526410, 923746, 1127831]"
416,417,"[1082185, 1127831, 1029743, 883404, 995242]"
417,418,"[1058997, 6534178, 1029743, 1003188, 940947]"
418,419,"[5569230, 933835, 1029743, 995242, 962229]"
419,420,"[1029743, 878996, 995242, 951590, 918733]"
420,421,"[6534178, 1058997, 862349, 1126899, 981760]"
421,422,"[1133018, 995242, 849843, 844165, 1029743]"
422,423,"[1058997, 5569471, 962568, 1039156, 844165]"
423,424,"[1127831, 1082185, 904360, 5569471, 840361]"
424,425,"[883404, 862349, 849843, 1070820, 923746]"
425,426,"[1005186, 862349, 6534178, 908531, 1082185]"
426,427,"[1082185, 1029743, 986912, 989101, 5569471]"
427,428,"[849843, 1029743, 995242, 1053690, 908531]"
428,429,"[995242, 1056509, 1029743, 995785, 834484]"
429,430,"[5569230, 908531, 962229, 1029743, 953476]"
430,431,"[1070820, 951590, 995242, 962229, 5569230]"
431,432,"[995242, 1075368, 1029743, 1065593, 883404]"
432,433,"[1106523, 951590, 1082185, 923746, 995785]"
433,434,"[976998, 951590, 1065593, 994928, 1022003]"
434,435,"[5569230, 5569471, 1053690, 8090537, 5569845]"
435,436,"[847982, 1029743, 903325, 1106523, 961554]"
436,437,"[6534178, 1082185, 995242, 962229, 1101010]"
437,438,"[1070820, 951590, 1133018, 6034857, 862349]"
438,439,"[1033142, 904360, 879755, 1003600, 908846]"
439,440,"[1082185, 6534178, 1029743, 995242, 1106523]"
440,441,"[933835, 961554, 976998, 1082185, 12810393]"
441,442,"[1085604, 879755, 1058997, 1126899, 1005186]"
442,443,"[862349, 981760, 5569230, 1077555, 1056509]"
443,444,"[1106523, 1070015, 883404, 923746, 1085604]"
444,445,"[1126899, 908531, 8090521, 1127831, 866227]"
445,446,"[840361, 1082185, 6534178, 1029743, 995242]"
446,447,"[995242, 849843, 1029743, 999971, 1096036]"
447,448,"[1058997, 1126899, 995965, 862349, 879755]"
448,449,"[1029743, 1053690, 6534178, 965766, 995242]"
449,450,"[1005186, 995242, 1038217, 878996, 904360]"
450,451,"[1070820, 962229, 1082185, 1026118, 860776]"
451,452,"[986912, 1096036, 1044078, 844165, 1110572]"
452,453,"[1082185, 824005, 866211, 1127831, 857849]"
453,454,"[5569230, 995242, 1029743, 904360, 908531]"
454,455,"[862349, 5569230, 1029743, 1070820, 1110572]"
455,456,"[862349, 883404, 5569845, 1070820, 5569230]"
456,457,"[1029743, 1005186, 883404, 1070015, 995242]"
457,458,"[1058997, 849843, 1126899, 904360, 981760]"
458,459,"[986912, 1077555, 854852, 844165, 995785]"
459,460,"[1082185, 6534178, 1058997, 1081177, 961554]"
460,461,"[1029743, 995242, 916122, 883404, 981760]"
461,462,"[995242, 908531, 1024306, 854852, 862349]"
462,463,"[6534166, 1070015, 1106523, 1133018, 1095275]"
463,464,"[995242, 5569374, 923746, 1029743, 849843]"
464,465,"[1070015, 5568378, 1044078, 1071939, 1029743]"
465,466,"[1068719, 1085604, 909894, 1133018, 1080414]"
466,467,"[1106523, 834484, 849843, 879755, 1024306]"
467,468,"[1106523, 883404, 849843, 923746, 1055863]"
468,469,"[862349, 1070820, 1082185, 1127831, 5569230]"
469,470,"[6534178, 995242, 1113588, 1005186, 1022003]"
